gps_code,iata_code,name,type,ident,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,id,iso_region,municipality,scheduled_service,local_code,home_link,wikipedia_link,keywords
PACY,CYT,Yakataga Airport,small_airport,PACY,60.080974,-142.494541,12,NA,US,17058,US-AK,Yakataga,yes,0AA1,,https://en.wikipedia.org/wiki/Yakataga_Airport,Cape Yakataga
RPLO,CYU,Cuyo Airport,small_airport,RPLO,10.8581,121.069,,AS,PH,30869,PH-PLW,Cuyo,yes,,,https://en.wikipedia.org/wiki/Cuyo_Airport,
UESS,CYX,Cherskiy Airport,medium_airport,UESS,68.7406005859375,161.337997436523,20,AS,RU,30870,RU-SA,Cherskiy,yes,,,https://en.wikipedia.org/wiki/Chersky_Airport,"Chersky Airport, Аэропорт Черский"
RPUY,CYZ,Cauayan Airport,medium_airport,RPUY,16.9298992157,121.752998352,200,AS,PH,5730,PH-ISA,Cauayan City,yes,,,https://en.wikipedia.org/wiki/Cauayan_Airport,
MMCT,CZA,Chichén Itzá International Airport,small_airport,MMCT,20.6413,-88.446198,102,NA,MX,4702,MX-YUC,Tinúm,yes,,http://www.chichen-itza-airport.com/,https://en.wikipedia.org/wiki/Chichen_Itza_International_Airport,Aeropuerto Internacional de Chichen Itza
SVCR,CZE,José Leonardo Chirinos Airport,medium_airport,SVCR,11.414944,-69.680901,52,SA,VE,6271,VE-I,Coro,yes,,,https://en.wikipedia.org/wiki/Jos%C3%A9_Leonardo_Chirino_Airport,
MZCZ,CZH,Corozal Airport,medium_airport,BZ-CZH,18.3822,-88.411903,40,NA,BZ,42209,BZ-CZL,Corozal,yes,,,https://en.wikipedia.org/wiki/Corozal_Airport,Ranchito Airport
DABC,CZL,Mohamed Boudiaf International Airport,medium_airport,DABC,36.2760009765625,6.62038993835449,2265,AF,DZ,2061,DZ-25,Constantine,yes,,,https://en.wikipedia.org/wiki/Mohamed_Boudiaf_International_Airport,
MMCZ,CZM,Cozumel International Airport,large_airport,MMCZ,20.514922,-86.928538,15,NA,MX,4706,MX-ROO,Cozumel,yes,,http://www.asur.com.mx/,https://en.wikipedia.org/wiki/Cozumel_International_Airport,
CZN,CZN,Chisana Airport,small_airport,CZN,62.0712013245,-142.04800415,3318,NA,US,17060,US-AK,Chisana,yes,CZN,,https://en.wikipedia.org/wiki/Chisana_Airport,Chisana Field
SBCZ,CZS,Cruzeiro do Sul Airport,medium_airport,SBCZ,-7.59991,-72.769501,637,SA,BR,5895,BR-AC,Cruzeiro Do Sul,yes,AC0002,http://www.infraero.gov.br/index.php/aeroportos/acre/aeroporto-cruzeiro-do-sul.html,https://en.wikipedia.org/wiki/Cruzeiro_do_Sul_International_Airport,
SKCZ,CZU,Las Brujas Airport,medium_airport,SKCZ,9.33274,-75.2856,528,SA,CO,6115,CO-SUC,Corozal,yes,CZU,,https://en.wikipedia.org/wiki/Las_Brujas_Airport_(Colombia),
ZSCG,CZX,Changzhou Benniu International Airport,medium_airport,ZSCG,31.919701,119.778999,32,AS,CN,30871,CN-32,Changzhou,yes,,,https://en.wikipedia.org/wiki/Changzhou_Benniu_International_Airport,
KDAB,DAB,Daytona Beach International Airport,medium_airport,KDAB,29.179899,-81.058098,34,NA,US,3478,US-FL,Daytona Beach,yes,DAB,,https://en.wikipedia.org/wiki/Daytona_Beach_International_Airport,
VGHS,DAC,Hazrat Shahjalal International Airport,large_airport,VGZR,23.843347,90.397783,30,AS,BD,26534,BD-3,Dhaka,yes,,,https://en.wikipedia.org/wiki/Shahjalal_International_Airport,"VGZR, Zia International Airport, Dacca International Airport, Hazrat Shahjalal International Airport"
VVDN,DAD,Da Nang International Airport,medium_airport,VVDN,16.0439,108.198997,33,AS,VN,26697,VN-SCC,Da Nang,yes,,,https://en.wikipedia.org/wiki/Da_Nang_International_Airport,"Danang, Cảng Hàng không Quốc tế Đà Nẵng"
KDAL,DAL,Dallas Love Field,medium_airport,KDAL,32.847099,-96.851799,487,NA,US,3479,US-TX,Dallas,yes,DAL,http://www.dallas-lovefield.com/,https://en.wikipedia.org/wiki/Dallas_Love_Field,QDF
OSDI,DAM,Damascus International Airport,large_airport,OSDI,33.4114990234375,36.5155982971191,2020,AS,SY,5303,SY-DI,Damascus,yes,,,https://en.wikipedia.org/wiki/Damascus_International_Airport,مطار دمشق الدولي
HTDA,DAR,Julius Nyerere International Airport,large_airport,HTDA,-6.87811,39.202599,182,AF,TZ,3251,TZ-02,Dar es Salaam,yes,,http://www.tanzaniairports.com/,https://en.wikipedia.org/wiki/Julius_Nyerere_International_Airport,"HTJN, Mwalimu Julius K. Nyerere, Dar es Salaam International Airport"
ZBDT,DAT,Datong Yungang Airport,small_airport,ZBDT,40.061614,113.480032,3442,AS,CN,30876,CN-14,Datong,yes,,,https://en.wikipedia.org/wiki/Datong_Yungang_Airport,
AYDU,DAU,Daru Airport,medium_airport,AYDU,-9.08676,143.207993,20,OC,PG,55,PG-WPD,Daru,yes,,,https://en.wikipedia.org/wiki/Daru_Airport,
MPDA,DAV,Enrique Malek International Airport,medium_airport,MPDA,8.391,-82.434998,89,NA,PA,4789,PA-4,David,yes,,,https://en.wikipedia.org/wiki/Enrique_Malek_International_Airport,
